ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.659
2026-08-17T22:11Z,gA,1.759
2026-08-17T22:11Z,gP,1.779
2026-08-19T00:28Z,g95e5,1.669
2026-08-19T00:28Z,gA,1.789
2026-08-19T00:28Z,gP,1.799
2026-08-19T07:28Z,g95e5,1.659
2026-08-19T07:28Z,gA,1.759
2026-08-19T07:28Z,gP,1.779
2026-08-19T10:16Z,g95e5,1.669
2026-08-19T10:16Z,gA,1.789
2026-08-19T10:16Z,gP,1.809
2026-08-24T17:20Z,g95e5,1.599
2026-08-24T17:20Z,gA,1.739
2026-08-24T17:20Z,gP,1.759
2026-08-25T14:32Z,gA,1.729
2026-08-25T14:32Z,gP,1.749
2026-08-26T00:31Z,g95e5,1.609
2026-08-26T00:31Z,gA,1.759
2026-08-26T00:31Z,gP,1.769
2026-08-26T09:28Z,g95e5,1.599
2026-08-26T09:28Z,gA,1.729
2026-08-26T09:28Z,gP,1.749
2026-08-26T10:22Z,g95e5,1.629
2026-08-26T10:22Z,gA,1.759
2026-08-26T10:22Z,gP,1.779
2026-08-26T11:18Z,g95e5,1.609
2026-08-26T14:32Z,g95e5,1.629
2026-08-26T14:32Z,gA,1.729
2026-08-26T14:32Z,gP,1.749
2026-09-01T01:28Z,g95e5,1.689
2026-09-01T01:28Z,gA,1.608
2026-09-01T01:28Z,gP,1.618
2026-09-01T12:09Z,gA,1.628
2026-09-01T12:09Z,gP,1.638
2026-09-01T17:01Z,gA,1.627
2026-09-01T17:01Z,gP,1.647
2026-09-02T14:46Z,g95e5,1.639
2026-09-02T18:10Z,g95e5,1.629
2026-09-02T18:10Z,gA,1.617
2026-09-02T18:10Z,gP,1.637
2026-09-02T23:38Z,gA,1.667
2026-09-02T23:38Z,gP,1.687
2026-09-03T23:36Z,g95e5,1.679
2026-09-03T23:36Z,gA,1.717
2026-09-03T23:36Z,gP,1.737
2026-09-04T15:14Z,g95e5,1.649
2026-09-04T15:14Z,gA,1.667
2026-09-04T15:14Z,gP,1.687
2026-09-04T18:37Z,g95e5,1.629
2026-09-04T18:37Z,gA,1.617
2026-09-04T18:37Z,gP,1.637
