ts,combustible,precio
2026-08-19T09:20Z,g95e5,1.649
2026-08-19T09:20Z,gA,1.769
2026-08-19T10:16Z,g95e5,1.629
2026-08-19T10:16Z,gA,1.749
2026-08-19T13:35Z,g95e5,1.639
2026-08-19T13:35Z,gA,1.769
2026-08-19T17:15Z,g95e5,1.629
2026-08-19T17:15Z,gA,1.749
2026-08-19T22:12Z,g95e5,1.639
2026-08-19T22:12Z,gA,1.769
2026-08-24T06:31Z,g95e5,1.659
2026-08-24T06:31Z,gA,1.789
2026-08-25T04:26Z,g95e5,1.649
2026-08-25T04:26Z,gA,1.779
2026-08-26T12:23Z,g95e5,1.679
2026-08-26T12:23Z,gA,1.809
2026-08-26T13:43Z,g95e5,1.649
2026-08-26T13:43Z,gA,1.779
2026-09-01T06:52Z,g95e5,1.709
2026-09-01T06:52Z,gA,1.658
2026-09-01T12:09Z,gA,1.657
2026-09-03T11:47Z,gA,1.707
2026-09-04T15:14Z,g95e5,1.759
2026-09-04T15:14Z,gA,1.757
2026-09-04T18:37Z,g95e5,1.709
2026-09-04T18:37Z,gA,1.707
2026-09-05T18:38Z,g95e5,1.759
2026-09-05T18:38Z,gA,1.757
2026-09-08T15:27Z,gA,1.747
2026-09-09T21:19Z,g95e5,1.779
2026-09-09T21:19Z,gA,1.767
2026-09-11T11:53Z,g95e5,1.809
2026-09-11T11:53Z,gA,1.797
2026-09-12T21:44Z,g95e5,1.799
2026-09-12T21:44Z,gA,1.769
2026-09-14T14:29Z,g95e5,1.809
2026-09-14T14:29Z,gA,1.789
2026-09-15T12:17Z,g95e5,1.839
2026-09-15T12:17Z,gA,1.819
2026-09-16T17:20Z,g95e5,1.869
2026-09-16T17:20Z,gA,1.849
2026-09-21T19:47Z,gA,1.869
2026-09-22T01:19Z,gA,1.849
2026-09-22T17:24Z,gA,1.869
2026-09-22T20:33Z,gA,1.849
2026-09-23T21:51Z,g95e5,1.829
2026-09-23T21:51Z,gA,1.829
