ts,combustible,precio
2026-08-17T06:26Z,g95e5,1.785
2026-08-17T06:26Z,gA,1.929
2026-08-17T08:28Z,gA,1.919
2026-08-17T09:27Z,g95e5,1.775
2026-08-17T22:11Z,g95e5,1.785
2026-08-17T22:11Z,gA,1.925
2026-08-17T22:11Z,gP,2.015
2026-08-17T22:11Z,g98e5,1.955
2026-08-18T05:18Z,gA,1.935
2026-08-18T08:20Z,g95e5,1.795
2026-08-18T08:20Z,gA,1.925
2026-08-18T11:14Z,g95e5,1.785
2026-08-18T22:09Z,gA,1.929
2026-08-18T22:09Z,gP,2.019
2026-08-19T06:21Z,g95e5,1.795
2026-08-19T07:28Z,gA,1.939
2026-08-19T09:20Z,g95e5,1.785
2026-08-19T10:16Z,gA,1.929
2026-08-19T22:12Z,g95e5,1.795
2026-08-19T22:12Z,gA,1.955
2026-08-19T22:12Z,gP,2.045
2026-08-19T22:12Z,g98e5,1.965
2026-08-20T06:22Z,g95e5,1.805
2026-08-20T06:22Z,gA,1.965
2026-08-20T09:21Z,g95e5,1.795
2026-08-20T09:21Z,gA,1.955
2026-08-20T16:19Z,g95e5,1.805
2026-08-20T16:19Z,gA,1.965
2026-08-20T18:19Z,g95e5,1.795
2026-08-20T18:19Z,gA,1.955
2026-08-20T22:14Z,gP,2.055
2026-08-20T22:14Z,g98e5,1.975
2026-08-21T06:23Z,g95e5,1.805
2026-08-21T06:23Z,gA,1.965
2026-08-21T09:23Z,g95e5,1.795
2026-08-21T09:23Z,gA,1.955
2026-08-21T16:17Z,g95e5,1.805
2026-08-21T19:18Z,g95e5,1.795
2026-08-21T22:10Z,gA,1.959
2026-08-21T22:10Z,gP,2.049
2026-08-21T22:10Z,g98e5,1.965
2026-08-22T08:14Z,g95e5,1.805
2026-08-22T08:14Z,gA,1.969
2026-08-22T12:13Z,g95e5,1.795
2026-08-22T12:13Z,gA,1.959
2026-08-23T08:14Z,g95e5,1.805
2026-08-23T08:14Z,gA,1.969
2026-08-23T11:10Z,g95e5,1.795
2026-08-23T11:10Z,gA,1.959
2026-08-23T15:10Z,g95e5,1.805
2026-08-23T18:10Z,g95e5,1.795
2026-08-24T05:27Z,gA,1.969
2026-08-24T06:31Z,g95e5,1.805
2026-08-24T08:33Z,gA,1.959
2026-08-24T09:34Z,g95e5,1.795
2026-08-24T14:30Z,g95e5,1.805
2026-08-24T17:20Z,g95e5,1.795
2026-08-24T22:13Z,g95e5,1.799
2026-08-24T22:13Z,gA,1.965
2026-08-24T22:13Z,gP,2.045
2026-08-24T22:13Z,g98e5,1.969
2026-08-25T05:21Z,gA,1.975
2026-08-25T08:27Z,g95e5,1.809
2026-08-25T08:27Z,gA,1.965
2026-08-25T11:15Z,g95e5,1.799
2026-08-25T14:32Z,g95e5,1.809
2026-08-25T17:21Z,g95e5,1.799
2026-08-26T05:21Z,gA,1.975
2026-08-26T07:35Z,g95e5,1.809
2026-08-26T09:28Z,g95e5,1.799
2026-08-26T09:28Z,gA,1.965
2026-08-26T14:32Z,g95e5,1.809
2026-08-26T18:32Z,g95e5,1.799
2026-08-27T02:19Z,gA,1.955
2026-08-27T02:19Z,gP,2.035
2026-08-27T23:17Z,gA,1.949
2026-08-27T23:17Z,gP,2.039
2026-08-27T23:17Z,g98e5,1.979
2026-08-28T07:15Z,g95e5,1.809
2026-08-28T07:15Z,gA,1.959
2026-08-28T19:40Z,g95e5,1.799
2026-08-28T19:40Z,gA,1.949
2026-08-29T02:30Z,gA,1.939
2026-08-29T02:30Z,gP,2.019
2026-08-29T02:30Z,g98e5,1.969
2026-08-29T09:27Z,g95e5,1.809
2026-08-29T09:27Z,gA,1.949
2026-08-29T14:44Z,g95e5,1.799
2026-08-29T14:44Z,gA,1.939
2026-08-31T22:05Z,g95e5,1.860
2026-08-31T22:05Z,gA,1.818
2026-08-31T22:05Z,gP,1.898
2026-08-31T22:05Z,g98e5,2.030
2026-09-01T06:52Z,gA,1.828
2026-09-01T12:09Z,gA,1.818
2026-09-01T22:52Z,g95e5,1.875
2026-09-01T22:52Z,gA,1.829
2026-09-01T22:52Z,gP,1.889
2026-09-01T22:52Z,g98e5,2.035
2026-09-02T05:10Z,gA,1.839
2026-09-02T10:01Z,gA,1.829
2026-09-02T14:46Z,g95e5,1.885
2026-09-02T18:10Z,g95e5,1.875
2026-09-02T23:38Z,g95e5,1.895
2026-09-02T23:38Z,gA,1.869
2026-09-02T23:38Z,gP,1.929
2026-09-02T23:38Z,g98e5,2.055
2026-09-03T06:34Z,g95e5,1.905
2026-09-03T06:34Z,gA,1.879
2026-09-03T11:47Z,g95e5,1.895
2026-09-03T11:47Z,gA,1.869
