ts,combustible,precio
2026-08-17T06:26Z,gA,1.929
2026-08-17T06:26Z,gP,2.024
2026-08-17T09:27Z,gA,1.939
2026-08-17T09:27Z,gP,2.034
2026-08-17T13:30Z,gA,1.959
2026-08-17T13:30Z,gP,2.054
2026-08-17T15:14Z,gA,1.939
2026-08-17T15:14Z,gP,2.034
2026-08-18T06:20Z,gA,1.929
2026-08-18T06:20Z,gP,2.024
2026-08-18T08:20Z,g95e5,1.809
2026-08-18T08:20Z,g95e5p,1.934
2026-08-18T10:15Z,gA,1.939
2026-08-18T10:15Z,gP,2.034
2026-08-18T13:34Z,g95e5,1.799
2026-08-18T13:34Z,g95e5p,1.924
2026-08-18T22:09Z,gA,1.959
2026-08-18T22:09Z,gP,2.054
2026-08-19T06:21Z,gA,1.949
2026-08-19T06:21Z,gP,2.044
2026-08-19T08:21Z,g95e5,1.789
2026-08-19T08:21Z,g95e5p,1.914
2026-08-19T09:20Z,gA,1.959
2026-08-19T09:20Z,gP,2.054
2026-08-19T13:35Z,g95e5,1.799
2026-08-19T13:35Z,g95e5p,1.924
2026-08-19T22:12Z,g95e5,1.819
2026-08-19T22:12Z,gA,1.969
2026-08-19T22:12Z,gP,2.064
2026-08-19T22:12Z,g95e5p,1.944
2026-08-20T06:22Z,gA,1.959
2026-08-20T06:22Z,gP,2.054
2026-08-20T08:22Z,g95e5,1.829
2026-08-20T08:22Z,g95e5p,1.954
2026-08-20T09:21Z,gA,1.969
2026-08-20T09:21Z,gP,2.064
2026-08-20T12:21Z,g95e5,1.819
2026-08-20T12:21Z,g95e5p,1.944
2026-08-21T06:23Z,gA,1.959
2026-08-21T06:23Z,gP,2.054
2026-08-21T08:23Z,g95e5,1.829
2026-08-21T08:23Z,g95e5p,1.954
2026-08-21T09:23Z,gA,1.969
2026-08-21T09:23Z,gP,2.064
2026-08-21T13:36Z,g95e5,1.819
2026-08-21T13:36Z,g95e5p,1.944
2026-08-22T06:17Z,gA,1.959
2026-08-22T06:17Z,gP,2.054
2026-08-22T08:14Z,g95e5,1.829
2026-08-22T08:14Z,g95e5p,1.954
2026-08-22T09:15Z,gA,1.969
2026-08-22T09:15Z,gP,2.064
2026-08-22T12:13Z,g95e5,1.819
2026-08-22T12:13Z,g95e5p,1.944
2026-08-23T08:14Z,g95e5,1.829
2026-08-23T08:14Z,gA,1.959
2026-08-23T08:14Z,gP,2.054
2026-08-23T08:14Z,g95e5p,1.954
2026-08-23T12:13Z,g95e5,1.819
2026-08-23T12:13Z,g95e5p,1.944
2026-08-23T17:11Z,gA,1.969
2026-08-23T17:11Z,gP,2.064
2026-08-24T08:33Z,g95e5,1.809
2026-08-24T08:33Z,gA,1.959
2026-08-24T08:33Z,gP,2.054
2026-08-24T08:33Z,g95e5p,1.934
2026-08-24T12:20Z,g95e5,1.819
2026-08-24T12:20Z,g95e5p,1.944
2026-08-24T16:21Z,gA,1.969
2026-08-24T16:21Z,gP,2.064
2026-08-25T08:27Z,gA,1.959
2026-08-25T08:27Z,gP,2.054
2026-08-25T09:23Z,g95e5,1.809
2026-08-25T09:23Z,g95e5p,1.934
2026-08-25T12:21Z,gA,1.969
2026-08-25T12:21Z,gP,2.064
2026-08-25T13:39Z,g95e5,1.819
2026-08-25T13:39Z,g95e5p,1.944
2026-08-26T09:28Z,g95e5,1.839
2026-08-26T09:28Z,g95e5p,1.964
2026-08-26T12:23Z,g95e5,1.819
2026-08-26T12:23Z,g95e5p,1.944
2026-08-26T13:43Z,g95e5,1.809
2026-08-26T13:43Z,g95e5p,1.934
2026-08-26T18:32Z,g95e5,1.819
2026-08-26T18:32Z,g95e5p,1.944
2026-08-27T02:19Z,gP,2.054
2026-08-27T02:19Z,g95e5p,1.929
2026-08-27T13:12Z,g95e5,1.829
2026-08-27T13:12Z,g95e5p,1.939
2026-08-27T23:17Z,g95e5,1.819
2026-08-27T23:17Z,g95e5p,1.929
2026-08-28T19:40Z,gA,1.964
2026-08-28T19:40Z,gP,2.049
2026-08-29T02:30Z,g95e5,1.819
2026-08-29T02:30Z,g95e5p,1.929
2026-08-29T14:44Z,g95e5,1.809
2026-08-29T14:44Z,g95e5p,1.919
2026-08-29T17:57Z,g95e5,1.819
2026-08-29T17:57Z,g95e5p,1.929
2026-08-29T22:51Z,g95e5,1.849
2026-08-29T22:51Z,gA,1.994
2026-08-29T22:51Z,gP,2.089
2026-08-29T22:51Z,g95e5p,1.959
2026-08-30T11:12Z,g95e5,1.839
2026-08-30T11:12Z,g95e5p,1.949
