ts,combustible,precio
2026-08-17T08:28Z,g95e5,1.825
2026-08-17T08:28Z,gA,1.915
2026-08-17T11:14Z,g95e5,1.815
2026-08-17T11:14Z,gA,1.905
2026-08-17T15:14Z,g95e5,1.825
2026-08-17T18:19Z,g95e5,1.815
2026-08-17T22:11Z,g95e5,1.825
2026-08-17T22:11Z,gA,1.925
2026-08-17T22:11Z,gP,1.985
2026-08-17T22:11Z,g98e5,1.945
2026-08-17T22:11Z,g95e5p,1.895
2026-08-18T08:20Z,g95e5,1.835
2026-08-18T10:15Z,gA,1.935
2026-08-18T11:14Z,g95e5,1.825
2026-08-18T13:34Z,gA,1.925
2026-08-18T22:09Z,gA,1.939
2026-08-18T22:09Z,gP,1.999
2026-08-18T22:09Z,glp,1.195
2026-08-19T08:21Z,g95e5,1.835
2026-08-19T08:21Z,gA,1.949
2026-08-19T12:18Z,g95e5,1.825
2026-08-19T12:18Z,gA,1.939
2026-08-19T22:12Z,g95e5,1.835
2026-08-19T22:12Z,gA,1.965
2026-08-19T22:12Z,gP,2.025
2026-08-19T22:12Z,g98e5,1.955
2026-08-19T22:12Z,g95e5p,1.905
2026-08-20T08:22Z,g95e5,1.845
2026-08-20T08:22Z,gA,1.975
2026-08-20T11:15Z,g95e5,1.835
2026-08-20T11:15Z,gA,1.965
2026-08-20T22:14Z,gA,1.959
2026-08-20T22:14Z,gP,2.029
2026-08-20T22:14Z,g98e5,1.965
2026-08-21T08:23Z,g95e5,1.845
2026-08-21T08:23Z,gA,1.969
2026-08-21T11:14Z,g95e5,1.835
2026-08-21T11:14Z,gA,1.959
2026-08-21T16:17Z,g95e5,1.845
2026-08-21T19:18Z,g95e5,1.835
2026-08-21T22:10Z,gA,1.965
2026-08-21T22:10Z,gP,2.025
2026-08-21T22:10Z,g98e5,1.955
2026-08-22T08:14Z,g95e5,1.845
2026-08-22T08:14Z,gA,1.975
2026-08-22T12:13Z,g95e5,1.835
2026-08-22T12:13Z,gA,1.965
2026-08-23T08:14Z,g95e5,1.845
2026-08-23T08:14Z,gA,1.975
2026-08-23T11:10Z,g95e5,1.835
2026-08-23T11:10Z,gA,1.965
2026-08-24T08:33Z,g95e5,1.845
2026-08-24T09:34Z,gA,1.975
2026-08-24T11:16Z,g95e5,1.835
2026-08-24T12:20Z,gA,1.965
2026-08-24T22:13Z,g95e5,1.839
2026-08-24T22:13Z,gA,1.969
2026-08-24T22:13Z,gP,2.029
2026-08-24T22:13Z,g98e5,1.959
2026-08-24T22:13Z,g95e5p,1.909
2026-08-25T08:27Z,g95e5,1.849
2026-08-25T08:27Z,gA,1.979
2026-08-25T11:15Z,g95e5,1.839
2026-08-25T11:15Z,gA,1.969
2026-08-25T22:13Z,glp,1.199
2026-08-26T09:28Z,g95e5,1.849
2026-08-26T09:28Z,gA,1.979
2026-08-26T12:23Z,g95e5,1.839
2026-08-26T12:23Z,gA,1.969
2026-08-27T02:19Z,gA,1.955
2026-08-27T02:19Z,gP,2.015
2026-08-27T23:17Z,gA,1.949
2026-08-27T23:17Z,gP,2.019
2026-08-27T23:17Z,g98e5,1.969
2026-08-29T02:30Z,gA,1.939
2026-08-29T02:30Z,gP,1.999
2026-08-29T02:30Z,g98e5,1.959
2026-08-29T09:27Z,g95e5,1.849
2026-08-29T09:27Z,gA,1.949
2026-08-29T14:44Z,g95e5,1.839
2026-08-29T14:44Z,gA,1.939
2026-08-31T10:09Z,g95e5,1.849
2026-08-31T10:09Z,gA,1.949
2026-08-31T17:43Z,g95e5,1.839
2026-08-31T17:43Z,gA,1.939
2026-08-31T22:05Z,g95e5,1.900
2026-08-31T22:05Z,gA,1.818
2026-08-31T22:05Z,gP,1.878
2026-08-31T22:05Z,g98e5,2.020
2026-08-31T22:05Z,g95e5p,1.970
2026-09-01T22:52Z,g95e5,1.925
2026-09-01T22:52Z,gA,1.805
2026-09-01T22:52Z,gP,1.855
2026-09-01T22:52Z,g98e5,2.035
2026-09-01T22:52Z,g95e5p,1.995
