ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.785
2026-08-17T22:11Z,gA,1.989
2026-08-17T22:11Z,g98e5,1.905
2026-08-17T22:11Z,gB,1.685
2026-08-18T22:09Z,gA,1.985
2026-08-18T22:09Z,gB,1.690
2026-08-19T22:12Z,g95e5,1.795
2026-08-19T22:12Z,gA,2.009
2026-08-19T22:12Z,g98e5,1.915
2026-08-19T22:12Z,gB,1.710
2026-08-20T22:14Z,gA,1.989
2026-08-20T22:14Z,g98e5,1.925
2026-08-20T22:14Z,gB,1.709
2026-08-21T22:10Z,gA,2.009
2026-08-21T22:10Z,g98e5,1.915
2026-08-24T22:13Z,g95e5,1.799
2026-08-24T22:13Z,gA,2.015
2026-08-24T22:13Z,g98e5,1.919
2026-08-24T22:13Z,gB,1.714
2026-08-27T02:19Z,gA,2.005
2026-08-27T02:19Z,gB,1.704
2026-08-27T23:17Z,gA,1.999
2026-08-27T23:17Z,g98e5,1.929
2026-08-27T23:17Z,gB,1.699
2026-08-29T02:30Z,gA,1.989
2026-08-29T02:30Z,g98e5,1.919
2026-08-29T02:30Z,gB,1.689
2026-08-31T22:05Z,g95e5,1.860
2026-08-31T22:05Z,gA,1.868
2026-08-31T22:05Z,g98e5,1.980
2026-09-01T22:52Z,g95e5,1.889
2026-09-01T22:52Z,gA,1.875
2026-09-01T22:52Z,g98e5,1.999
2026-09-02T23:38Z,g95e5,1.909
2026-09-02T23:38Z,gA,1.915
2026-09-02T23:38Z,g98e5,2.019
2026-09-02T23:38Z,gB,1.729
