ts,combustible,precio
2026-08-17T22:11Z,gA,1.925
2026-08-17T22:11Z,gP,2.015
2026-08-18T22:09Z,g95e5,1.799
2026-08-18T22:09Z,gA,1.945
2026-08-18T22:09Z,gP,2.035
2026-08-18T22:09Z,g98e5,1.939
2026-08-19T22:12Z,gA,1.965
2026-08-19T22:12Z,gP,2.055
2026-08-20T22:14Z,g95e5,1.809
2026-08-20T22:14Z,gA,1.975
2026-08-20T22:14Z,gP,2.065
2026-08-20T22:14Z,g98e5,1.949
2026-08-21T22:10Z,g95e5,1.815
2026-08-21T22:10Z,gA,1.965
2026-08-21T22:10Z,gP,2.055
2026-08-21T22:10Z,g98e5,1.955
2026-08-25T22:13Z,g95e5,1.819
2026-08-25T22:13Z,gA,1.969
2026-08-25T22:13Z,gP,2.059
2026-08-25T22:13Z,g98e5,1.959
2026-08-27T02:19Z,g95e5,1.815
2026-08-27T02:19Z,g98e5,1.955
2026-08-27T23:17Z,gA,1.949
2026-08-27T23:17Z,gP,2.039
2026-08-29T02:30Z,gA,1.929
2026-08-29T02:30Z,gP,2.019
2026-08-31T22:05Z,g95e5,1.879
2026-08-31T22:05Z,gA,1.815
2026-08-31T22:05Z,gP,1.905
2026-08-31T22:05Z,g98e5,2.019
2026-09-02T10:01Z,gA,1.835
2026-09-02T10:01Z,gP,1.925
2026-09-02T23:38Z,g95e5,1.899
2026-09-02T23:38Z,gA,1.845
2026-09-02T23:38Z,gP,1.935
2026-09-02T23:38Z,g98e5,2.039
