ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.825
2026-08-17T22:11Z,gA,1.955
2026-08-18T22:09Z,g95e5,1.829
2026-08-18T22:09Z,gA,1.959
2026-08-19T22:12Z,g95e5,1.839
2026-08-19T22:12Z,gA,1.965
2026-08-20T22:14Z,g95e5,1.829
2026-08-24T22:13Z,g95e5,1.845
2026-08-25T22:13Z,g95e5,1.839
2026-08-27T02:19Z,g95e5,1.835
2026-08-27T02:19Z,gA,1.959
2026-08-27T23:17Z,g95e5,1.845
2026-08-27T23:17Z,gA,1.955
2026-08-29T02:30Z,g95e5,1.835
2026-08-29T02:30Z,gA,1.945
2026-08-31T22:05Z,g95e5,1.896
2026-08-31T22:05Z,gA,1.824
2026-09-01T22:52Z,g95e5,1.905
2026-09-01T22:52Z,gA,1.825
2026-09-02T23:38Z,g95e5,1.929
2026-09-02T23:38Z,gA,1.859
2026-09-03T23:36Z,g95e5,1.965
2026-09-03T23:36Z,gA,1.885
2026-09-04T23:28Z,gA,1.895
