ts,combustible,precio
2026-08-16T14:11Z,g95e5,1.764
2026-08-16T14:11Z,g95e5p,1.834
2026-08-17T08:28Z,gA,1.904
2026-08-17T08:28Z,gP,2.014
2026-08-17T11:14Z,g95e5,1.774
2026-08-17T11:14Z,g95e5p,1.844
2026-08-17T13:30Z,gA,1.894
2026-08-17T13:30Z,gP,2.004
2026-08-17T15:14Z,g95e5,1.764
2026-08-17T15:14Z,g95e5p,1.834
2026-08-18T08:20Z,g95e5,1.754
2026-08-18T08:20Z,gA,1.914
2026-08-18T08:20Z,gP,2.024
2026-08-18T08:20Z,g95e5p,1.824
2026-08-18T13:34Z,g95e5,1.774
2026-08-18T13:34Z,g95e5p,1.844
2026-08-18T16:16Z,g95e5,1.764
2026-08-18T16:16Z,gA,1.894
2026-08-18T16:16Z,gP,2.004
2026-08-18T16:16Z,g95e5p,1.834
2026-08-18T22:09Z,gA,1.914
2026-08-18T22:09Z,gP,2.024
2026-08-18T22:09Z,gB,1.644
2026-08-19T08:21Z,g95e5,1.784
2026-08-19T08:21Z,gA,1.924
2026-08-19T08:21Z,gP,2.034
2026-08-19T08:21Z,g95e5p,1.854
2026-08-19T13:35Z,g95e5,1.774
2026-08-19T13:35Z,g95e5p,1.844
2026-08-19T16:16Z,g95e5,1.764
2026-08-19T16:16Z,gA,1.914
2026-08-19T16:16Z,gP,2.024
2026-08-19T16:16Z,g95e5p,1.834
2026-08-19T22:12Z,g95e5,1.784
2026-08-19T22:12Z,gA,1.924
2026-08-19T22:12Z,gP,2.034
2026-08-19T22:12Z,g95e5p,1.854
2026-08-19T22:12Z,gB,1.654
2026-08-20T08:22Z,g95e5,1.794
2026-08-20T08:22Z,gA,1.914
2026-08-20T08:22Z,gP,2.024
2026-08-20T08:22Z,g95e5p,1.864
2026-08-20T12:21Z,gA,1.934
2026-08-20T12:21Z,gP,2.044
2026-08-20T16:19Z,g95e5,1.784
2026-08-20T16:19Z,gA,1.924
2026-08-20T16:19Z,gP,2.034
2026-08-20T16:19Z,g95e5p,1.854
2026-08-21T08:23Z,g95e5,1.774
2026-08-21T08:23Z,gA,1.914
2026-08-21T08:23Z,gP,2.024
2026-08-21T08:23Z,g95e5p,1.844
2026-08-21T13:36Z,g95e5,1.784
2026-08-21T13:36Z,g95e5p,1.854
2026-08-21T16:17Z,gA,1.924
2026-08-21T16:17Z,gP,2.034
2026-08-22T08:14Z,gA,1.914
2026-08-22T08:14Z,gP,2.024
2026-08-22T12:13Z,gA,1.924
2026-08-22T12:13Z,gP,2.034
2026-08-22T15:09Z,gA,1.914
2026-08-22T15:09Z,gP,2.024
2026-08-22T20:09Z,gA,1.924
2026-08-22T20:09Z,gP,2.034
2026-08-23T08:14Z,g95e5,1.774
2026-08-23T08:14Z,gA,1.914
2026-08-23T08:14Z,gP,2.024
2026-08-23T08:14Z,g95e5p,1.844
2026-08-23T12:13Z,gA,1.924
2026-08-23T12:13Z,gP,2.034
2026-08-23T17:11Z,g95e5,1.784
2026-08-23T17:11Z,g95e5p,1.854
2026-08-24T08:33Z,g95e5,1.774
2026-08-24T08:33Z,gA,1.934
2026-08-24T08:33Z,gP,2.044
2026-08-24T08:33Z,g95e5p,1.844
2026-08-24T12:20Z,g95e5,1.784
2026-08-24T12:20Z,gA,1.924
2026-08-24T12:20Z,gP,2.034
2026-08-24T12:20Z,g95e5p,1.854
2026-08-25T08:27Z,g95e5,1.774
2026-08-25T08:27Z,gA,1.914
2026-08-25T08:27Z,gP,2.024
2026-08-25T08:27Z,g95e5p,1.844
2026-08-25T12:21Z,g95e5,1.784
2026-08-25T12:21Z,g95e5p,1.854
2026-08-25T16:22Z,gA,1.924
2026-08-25T16:22Z,gP,2.034
2026-08-27T02:19Z,gP,2.024
2026-08-27T02:19Z,g95e5p,1.839
